Name
Academy Rector
"Liliana, Death's Majesty"
Metallic Mimic
Mox Amber
"Muldrotha, the Gravetide"
"Nicol Bolas, God-Pharaoh"
"Nissa, Steward of Elements"
Paradox Engine
Rhonas the Indomitable
Search for Azcanta
Settle the Wreckage
Sulfur Falls
Spirebluff Canal
"Teferi, Hero of Dominaria"
Tendershoot Dryad
The Immortal Sun
The Locust God
Torrential Gearhulk
The Scarab God
Twilight Prophet
"Vraska, Relic Seeker"
Vraska's Contempt
Walking Ballista
Woodland Cemetery
"Zacama, Primal Calamity"
