name,set,condition,seller 1 price,seller 2 price,updated_price
Blue Elemental Blast,Beta Edition,Moderately Played,10.44,10.58,10.57
Burrowing,Beta Edition,Moderately Played,4.84,8.97,8.96
Celestial Prism,Beta Edition,Moderately Played,8.25,8.49,8.48
Circle of Protection: White,Beta Edition,Moderately Played,2.0,2.49,2.4800000000000004
Disenchant,Beta Edition,Moderately Played,44.99,46.99,44.980000000000004
Earthbind,Beta Edition,Moderately Played,8.4,10.72,10.71
Fireball,Beta Edition,Moderately Played,19.69,20.63,20.619999999999997
Giant Growth,Beta Edition,Moderately Played,15.75,14.99,15.74
Hill Giant,Beta Edition,Moderately Played,2.3,2.3,2.29
Howl from Beyond,Beta Edition,Moderately Played,3.13,3.38,3.37
Hurricane,Beta Edition,Moderately Played,24.99,24.99,24.979999999999997
Instill Energy,Beta Edition,Moderately Played,17.69,17.95,17.68
Merfolk of the Pearl Trident,Beta Edition,Moderately Played,3.16,2.99,3.1500000000000004
Obsianus Golem,Beta Edition,Moderately Played,8.24,8.47,8.46
Orcish Oriflamme,Beta Edition,Moderately Played,11.98,11.99,11.97
Paralyze,Beta Edition,Moderately Played,6.68,8.95,8.94
Pestilence,Beta Edition,Moderately Played,17.49,18.24,18.229999999999997
Plague Rats,Beta Edition,Moderately Played,3.55,4.19,3.54
Scavenging Ghoul,Beta Edition,Moderately Played,7.18,7.2,7.19
Sinkhole,Beta Edition,Moderately Played,32.94,32.95,32.93
Tsunami,Beta Edition,Moderately Played,17.99,23.93,23.919999999999998
Unholy Strength,Beta Edition,Moderately Played,5.94,6.29,6.28
Wall of Stone,Beta Edition,Moderately Played,5.0,7.4,7.390000000000001
Animate Artifact,Unlimited Edition,Moderately Played,0.4,0.79,0.78
Blessing,Unlimited Edition,Moderately Played,5.08,5.2,5.19
Clone,Unlimited Edition,Moderately Played,2.67,2.7,2.6900000000000004
Darkpact,Unlimited Edition,Moderately Played,8.98,8.99,8.98
Demonic Attorney,Unlimited Edition,Moderately Played,11.66,11.82,11.81
Hurricane,Unlimited Edition,Moderately Played,1.31,1.38,1.94
Hypnotic Specter,Unlimited Edition,Moderately Played,13.52,15.99,15.98
Ice Storm,Unlimited Edition,Moderately Played,24.99,25.0,24.979999999999997
Juggernaut,Unlimited Edition,Moderately Played,6.24,6.34,6.33
Keldon Warlord,Unlimited Edition,Moderately Played,1.11,1.58,1.57
Lightning Bolt,Unlimited Edition,Moderately Played,7.49,8.91,8.9
Living Lands,Unlimited Edition,Moderately Played,5.53,7.0,6.99
Lure,Unlimited Edition,Moderately Played,0.57,0.67,0.5599999999999999
Northern Paladin,Unlimited Edition,Moderately Played,8.25,10.21,10.200000000000001
Power Sink,Unlimited Edition,Moderately Played,0.9,0.99,0.89
Red Elemental Blast,Unlimited Edition,Moderately Played,1.76,1.76,1.75
Roc of Kher Ridges,Unlimited Edition,Moderately Played,13.95,15.39,15.38
Sea Serpent,Unlimited Edition,Moderately Played,0.15,0.21,0.19999999999999998
Sedge Troll,Unlimited Edition,Moderately Played,55.0,55.49,79.99
Serra Angel,Unlimited Edition,Moderately Played,15.75,17.2,17.189999999999998
Stone Rain,Unlimited Edition,Moderately Played,0.99,1.09,0.98
The Hive,Unlimited Edition,Moderately Played,8.83,9.0,8.99
Thicket Basilisk,Unlimited Edition,Moderately Played,0.79,1.16,1.15
Thoughtlace,Unlimited Edition,Moderately Played,5.0,4.22,4.99
Wall of Water,Unlimited Edition,Moderately Played,0.75,0.89,0.74
Warp Artifact,Unlimited Edition,Moderately Played,6.48,8.46,8.450000000000001
Word of Command,Unlimited Edition,Moderately Played,74.99,125.99,125.97999999999999
Price of Glory,Odyssey,Moderately Played,6.93,7.2,7.19
Skycloud Expanse,Odyssey,Moderately Played,3.72,5.52,5.51
Circular Logic,Torment,Moderately Played,0.5,0.55,0.83
Chainer's Edict,Torment,Moderately Played,1.51,1.79,1.5
Grim Lavamancer,Torment,Moderately Played,6.2,6.25,6.24
"Llawan, Cephalid Empress",Torment,Moderately Played,0.82,0.84,0.8099999999999999
Insidious Dreams,Torment,Moderately Played,7.74,8.1,8.09
Battle Screech,Judgment,Moderately Played,0.48,0.7,3.12
Genesis,Judgment,Moderately Played,3.36,4.28,4.2700000000000005
Wheel and Deal,Onslaught,Moderately Played,4.37,4.38,4.37
Aggravated Assault,Onslaught,Moderately Played,5.39,5.75,5.74
"Kamahl, Fist of Krosa",Onslaught,Moderately Played,8.5,8.81,8.8
Oversold Cemetery,Onslaught,Moderately Played,6.55,6.78,6.7700000000000005
Enchantress's Presence,Onslaught,Moderately Played,1.55,1.67,1.54
Fecundity,8th Edition,Moderately Played,0.49,0.5,0.48
Gilded Lotus,Mirrodin,Moderately Played,2.93,3.25,3.24
Blinkmoth Nexus,Darksteel,Moderately Played,3.53,5.08,5.07
Engineered Explosives,Fifth Dawn,Moderately Played,15.73,15.74,15.72
Beacon of Immortality,Fifth Dawn,Moderately Played,1.18,1.99,1.98
