name,set,condition,seller 1 price,seller 2 price,updated_price
Livonya Silone,Legends,Lightly Played,13.34,13.84,13.83
Mana Matrix,Legends,Lightly Played,26.98,27.5,31.88
Master of the Hunt,Legends,Lightly Played,33.74,33.75,39.58
Mold Demon,Legends,Lightly Played,8.97,8.97,11.44
Nebuchadnezzar,Legends,Lightly Played,13.11,13.29,13.1
Rasputin Dreamweaver,Legends,Lightly Played,96.59,95.99,95.97999999999999
Revelation,Legends,Lightly Played,11.49,11.74,13.95
Sol'kanar the Swamp King,Legends,Lightly Played,22.04,22.05,22.029999999999998
Ur-Drago,Legends,Lightly Played,9.17,10.02,10.01
Winds of Change,Legends,Lightly Played,14.4,17.48,17.47
Balduvian Trading Post,Alliances,Lightly Played,0.99,1.23,1.46
Heart of Yavimaya,Alliances,Lightly Played,0.65,0.77,0.87
Dominating Licid,Exodus,Lightly Played,1.54,1.54,1.81
Null Brooch,Exodus,Lightly Played,0.58,0.77,0.76
Adarkar Wastes,Ice Age,Lightly Played,4.29,4.66,5.82
Brushland,Ice Age,Lightly Played,3.47,3.53,4.09
Glacial Chasm,Ice Age,Lightly Played,2.1,2.28,2.65
Tinder Wall,Ice Age,Lightly Played,0.11,0.13,0.13
Dark Ritual,Mirage,Lightly Played,0.27,0.31,0.31
Lure of Prey,Mirage,Lightly Played,1.89,2.15,2.17
Malignant Growth,Mirage,Lightly Played,0.24,0.25,0.32
Reparations,Mirage,Lightly Played,1.71,1.72,1.94
"Shauku, Endbringer",Mirage,Lightly Played,1.5,1.46,1.9
Teferi's Isle,Mirage,Lightly Played,2.26,2.29,2.63
Wellspring,Mirage,Lightly Played,0.9,0.91,1.27
Intruder Alarm,Stronghold,Lightly Played,13.5,14.89,14.88
Volrath's Shapeshifter,Stronghold,Lightly Played,2.28,2.35,2.27
Corpse Dance,Tempest,Lightly Played,4.16,4.18,5.99
Dark Ritual,Tempest,Lightly Played,0.22,0.33,0.4
Dread of Night,Tempest,Lightly Played,0.51,0.54,0.89
Mana Severance,Tempest,Lightly Played,6.25,7.61,7.6000000000000005
Marble Titan,Tempest,Lightly Played,2.75,3.97,3.9600000000000004
Meditate,Tempest,Lightly Played,3.98,4.01,4.0
Reanimate,Tempest,Lightly Played,7.8,7.95,7.94
Sapphire Medallion,Tempest,Lightly Played,17.779999999999998,18.5,23.01
Winds of Rath,Tempest,Lightly Played,0.63,0.64,0.82
Breathstealer's Crypt,Visions,Lightly Played,3.6,3.76,4.52
City of Solitude,Visions,Lightly Played,8.25,8.28,8.27
Crypt Rats,Visions,Lightly Played,0.32,0.33,0.57
Femeref Enchantress,Visions,Lightly Played,2.18,3.41,3.4000000000000004
Pygmy Hippo,Visions,Lightly Played,1.09,1.16,1.34
Debt of Loyalty,Weatherlight,Lightly Played,3.31,3.75,4.75
Lotus Vale,Weatherlight,Lightly Played,14.2,14.99,14.98
Scorched Ruins,Weatherlight,Lightly Played,8.25,9.42,9.41
Well of Knowledge,Weatherlight,Lightly Played,1.3,1.48,1.49
Donate,Urza's Destiny,Lightly Played,3.67,3.68,4.63
Pattern of Rebirth,Urza's Destiny,Lightly Played,1.0,1.62,1.61
Thran Dynamo,Urza's Destiny,Lightly Played,5.94,6.470000000000001,6.460000000000001
Yawgmoth's Bargain,Urza's Destiny,Lightly Played,4.1,4.1,4.58
Cho-Manno's Blessing,Mercadian Masques,Lightly Played,0.41,0.42,0.39999999999999997
Crackdown,Mercadian Masques,Lightly Played,5.04,5.21,5.2
Dust Bowl,Mercadian Masques,Lightly Played,9.97,9.99,11.27
Invigorate,Mercadian Masques,Lightly Played,0.1,0.14,0.13
Argothian Enchantress,Urza's Saga,Lightly Played,10.739999999999998,11.99,11.98
Fecundity,Urza's Saga,Lightly Played,0.32,0.33,0.52
Hibernation,Urza's Saga,Lightly Played,0.1,0.18,0.2
Ill-Gotten Gains,Urza's Saga,Lightly Played,0.24,0.28,0.29
Phyrexian Tower,Urza's Saga,Lightly Played,11.99,12.99,12.98
Presence of the Master,Urza's Saga,Lightly Played,0.12,0.15,0.13999999999999999
Belbe's Portal,Nemesis,Lightly Played,2.78,3.52,3.5100000000000002
Seahunter,Nemesis,Lightly Played,1.78,2.81,2.8000000000000003
Stronghold Gambit,Nemesis,Lightly Played,0.74,0.74,0.97
Dueling Grounds,Invasion,Lightly Played,4.13,4.28,4.87
Elvish Champion,Invasion,Lightly Played,4.14,5.0,4.99
Phyrexian Altar,Invasion,Lightly Played,18.5,19.96,19.95
Tsabo Tavoc,Invasion,Lightly Played,0.7,0.83,1.11
Circle of Protection: Black,Beta Edition,Lightly Played,3.99,5.0,4.99
Clone,Beta Edition,Lightly Played,49.95,49.99,49.940000000000005
Conversion,Beta Edition,Lightly Played,11.98,11.99,11.97
Dark Ritual,Beta Edition,Lightly Played,79.04,79.18,96.48
Death Ward,Beta Edition,Lightly Played,2.38,2.52,2.5100000000000002
Fireball,Beta Edition,Lightly Played,26.44,26.45,30.08
Giant Growth,Beta Edition,Lightly Played,17.93,17.94,21.68
Glasses of Urza,Beta Edition,Lightly Played,30.39,30.979999999999997,30.38
Grizzly Bears,Beta Edition,Lightly Played,9.86,11.0,10.99
Healing Salve,Beta Edition,Lightly Played,3.05,3.67,3.66
Holy Armor,Beta Edition,Lightly Played,2.63,3.2,3.1900000000000004
Instill Energy,Beta Edition,Lightly Played,27.8,29.99,29.979999999999997
Jump,Beta Edition,Lightly Played,2.12,2.41,2.47
Keldon Warlord,Beta Edition,Lightly Played,24.98,25.479999999999997,24.97
Lance,Beta Edition,Lightly Played,10.09,9.85,10.08
Lifeforce,Beta Edition,Lightly Played,20.99,20.99,20.979999999999997
Nettling Imp,Beta Edition,Lightly Played,19.79,19.85,19.779999999999998
Paralyze,Beta Edition,Lightly Played,8.99,9.95,9.94
Pestilence,Beta Edition,Lightly Played,14.98,14.99,14.97
Phantasmal Forces,Beta Edition,Lightly Played,14.73,14.99,14.72
Power Leak,Beta Edition,Lightly Played,2.4,2.49,2.4800000000000004
Prodigal Sorcerer,Beta Edition,Lightly Played,10.49,11.7,11.69
Regeneration,Beta Edition,Lightly Played,3.87,3.9,3.89
Sacrifice,Beta Edition,Lightly Played,16.89,16.9,16.88
Shatter,Beta Edition,Lightly Played,11.59,12.17,12.16
Sleight of Mind,Beta Edition,Lightly Played,149.99,,149.98000000000002
Soul Net,Beta Edition,Lightly Played,11.96,14.99,14.98
Steal Artifact,Beta Edition,Lightly Played,20.0,21.17,21.16
Stone Rain,Beta Edition,Lightly Played,18.95,20.27,20.259999999999998
Throne of Bone,Beta Edition,Lightly Played,16.0,,15.99
Tranquility,Beta Edition,Lightly Played,4.55,6.92,6.91
Wall of Stone,Beta Edition,Lightly Played,7.19,15.98,15.97
Wall of Wood,Beta Edition,Lightly Played,2.75,2.82,2.81
War Mammoth,Beta Edition,Lightly Played,3.38,5.95,5.94
Water Elemental,Beta Edition,Lightly Played,7.0,11.7,11.69
White Knight,Beta Edition,Lightly Played,92.38,119.99,119.97999999999999
Animate Artifact,Unlimited Edition,Lightly Played,0.41,0.59,0.72
Animate Dead,Unlimited Edition,Lightly Played,9.4,10.29,10.28
Animate Wall,Unlimited Edition,Lightly Played,9.99,11.5,11.49
Aspect of Wolf,Unlimited Edition,Lightly Played,15.99,17.2,17.189999999999998
Basalt Monolith,Unlimited Edition,Lightly Played,10.12,11.5,11.49
Castle,Unlimited Edition,Lightly Played,0.87,0.88,1.19
Channel,Unlimited Edition,Lightly Played,2.97,2.97,2.9600000000000004
Clone,Unlimited Edition,Lightly Played,5.18,5.95,5.94
Control Magic,Unlimited Edition,Lightly Played,7.99,8.0,11.61
Disintegrate,Unlimited Edition,Lightly Played,0.48,0.71,0.7
Flight,Unlimited Edition,Lightly Played,0.2,0.24,0.27
Glasses of Urza,Unlimited Edition,Lightly Played,2.32,2.32,2.58
Gloom,Unlimited Edition,Lightly Played,3.69,5.0,4.99
Goblin King,Unlimited Edition,Lightly Played,31.99,32.0,39.02
Granite Gargoyle,Unlimited Edition,Lightly Played,25.74,25.979999999999997,25.729999999999997
Gray Ogre,Unlimited Edition,Lightly Played,0.19,0.23,0.22
Grizzly Bears,Unlimited Edition,Lightly Played,0.4,0.42,0.44
Hurricane,Unlimited Edition,Lightly Played,1.49,2.56,2.5500000000000003
Invisibility,Unlimited Edition,Lightly Played,0.39,0.44,0.38
Ironclaw Orcs,Unlimited Edition,Lightly Played,0.25,0.25,0.31
Island Sanctuary,Unlimited Edition,Lightly Played,17.3,17.81,19.99
Juggernaut,Unlimited Edition,Lightly Played,7.74,9.23,9.22
Keldon Warlord,Unlimited Edition,Lightly Played,1.35,1.47,1.63
Lightning Bolt,Unlimited Edition,Lightly Played,14.09,14.99,14.98
Llanowar Elves,Unlimited Edition,Lightly Played,3.0,3.49,3.4800000000000004
Personal Incarnation,Unlimited Edition,Lightly Played,9.99,12.46,12.450000000000001
Purelace,Unlimited Edition,Lightly Played,5.88,5.88,6.78
Red Elemental Blast,Unlimited Edition,Lightly Played,1.99,2.53,2.52
Roc of Kher Ridges,Unlimited Edition,Lightly Played,14.09,17.189999999999998,20.84
Sedge Troll,Unlimited Edition,Lightly Played,79.48,79.99,79.47
Simulacrum,Unlimited Edition,Lightly Played,0.75,0.98,0.97
Sinkhole,Unlimited Edition,Lightly Played,10.92,12.2,12.19
Stone Rain,Unlimited Edition,Lightly Played,0.98,1.04,1.38
Swords to Plowshares,Unlimited Edition,Lightly Played,33.99,33.99,33.980000000000004
Thoughtlace,Unlimited Edition,Lightly Played,7.44,7.45,7.44
Tsunami,Unlimited Edition,Lightly Played,2.2,2.24,2.54
Uthden Troll,Unlimited Edition,Lightly Played,2.19,2.33,2.18
Winter Orb,Unlimited Edition,Lightly Played,58.94,77.24,77.22999999999999
Need for Speed,Odyssey,Lightly Played,0.24,0.25,0.36
Grim Lavamancer,Torment,Lightly Played,8.24,8.25,8.24
Insurrection,Onslaught,Lightly Played,7.13,8.07,8.06
Riptide Laboratory,Onslaught,Lightly Played,9.0,9.77,9.76
Steely Resolve,Onslaught,Lightly Played,7.79,7.48,7.78
"Akroma, Angel of Wrath",Legions,Lightly Played,1.94,2.33,2.86
Elvish Champion,8th Edition,Lightly Played,3.33,,5.46
Fecundity,8th Edition,Lightly Played,0.34,0.34,0.48
City of Brass,8th Edition,Lightly Played,8.87,8.97,8.96
Well of Lost Dreams,Darksteel,Lightly Played,2.99,2.93,2.9800000000000004
Joiner Adept,Fifth Dawn,Lightly Played,1.23,1.69,1.68
Auriok Salvagers,Fifth Dawn,Lightly Played,0.1,0.12,0.18
Rite of Passage,Fifth Dawn,Lightly Played,0.99,1.18,1.18
Beacon of Immortality,Fifth Dawn,Lightly Played,1.75,1.99,1.74
Desperate Ritual,Champions of Kamigawa,Lightly Played,0.51,0.51,0.89
Forbidden Orchard,Champions of Kamigawa,Lightly Played,8.99,10.45,10.44
Gifts Ungiven,Champions of Kamigawa,Lightly Played,1.71,1.72,2.07
Night of Souls' Betrayal,Champions of Kamigawa,Lightly Played,0.37,0.38,0.48
Goryo's Vengeance,Betrayers of Kamigawa,Lightly Played,7.19,7.53,9.09
"Kira, Great Glass-Spinner",Betrayers of Kamigawa,Lightly Played,11.21,11.55,12.85
Ninja of the Deep Hours,Betrayers of Kamigawa,Lightly Played,0.7,0.85,0.84
"Kataki, War's Wage",Saviors of Kamigawa,Lightly Played,2.13,2.15,3.04
Manriki-Gusari,Saviors of Kamigawa,Lightly Played,0.4,0.44,0.45
"Meishin, the Mind Cage",Saviors of Kamigawa,Lightly Played,2.97,3.46,3.45
Worship,9th Edition,Lightly Played,5.47,5.48,6.73
"Agrus Kos, Wojek Veteran",Ravnica: City of Guilds,Lightly Played,0.23,0.23,0.25
Golgari Thug,Ravnica: City of Guilds,Lightly Played,1.66,1.77,1.65
Remand,Ravnica: City of Guilds,Lightly Played,4.0,4.28,4.2700000000000005
Sunforger,Ravnica: City of Guilds,Lightly Played,2.11,2.87,3.81
Stitch in Time,Guildpact,Lightly Played,1.12,1.5,1.9
"Ulasht, the Hate Seed",Guildpact,Lightly Played,0.48,0.75,1.19
"Momir Vig, Simic Visionary",Dissension,Lightly Played,1.66,1.66,1.65
Proclamation of Rebirth,Dissension,Lightly Played,5.21,5.52,5.51
Protean Hulk,Dissension,Lightly Played,3.02,3.65,3.64
Voidslime,Dissension,Lightly Played,3.69,3.99,4.66
Dark Depths,Coldsnap,Lightly Played,23.99,25.55,25.54
Fury of the Horde,Coldsnap,Lightly Played,2.69,2.7,3.44
Martyr of Sands,Coldsnap,Lightly Played,0.24,0.24,0.39
Ancestral Vision,Time Spiral,Lightly Played,8.06,8.6,8.59
Conflagrate,Time Spiral,Lightly Played,0.16,0.34,0.48
Flagstones of Trokair,Time Spiral,Lightly Played,5.18,5.2,5.19
Norin the Wary,Time Spiral,Lightly Played,4.19,5.05,5.04
Restore Balance,Time Spiral,Lightly Played,6.12,6.12,8.44
Walk the Aeons,Time Spiral,Lightly Played,5.85,6.39,6.38
"Akroma, Angel of Wrath",Timeshifted,Lightly Played,2.7,2.95,2.9400000000000004
Pendelhaven,Timeshifted,Lightly Played,2.2,2.2,2.66
"Akroma, Angel of Fury",Planar Chaos,Lightly Played,1.43,1.65,1.42
Groundbreaker,Planar Chaos,Lightly Played,4.21,5.0,4.99
Life and Limb,Planar Chaos,Lightly Played,2.46,2.85,2.8400000000000003
Magus of the Bazaar,Planar Chaos,Lightly Played,0.25,0.34,0.62
Intervention Pact,Future Sight,Lightly Played,1.4,1.45,2.1
Elvish Champion,10th Edition,Lightly Played,4.9,4.99,6.13
Underworld Dreams,10th Edition,Lightly Played,3.52,3.96,3.95
Notorious Throng,Morningtide,Lightly Played,4.42,6.52,6.51
Cemetery Puca,Shadowmoor,Lightly Played,1.68,1.73,1.67
Cursecatcher,Shadowmoor,Lightly Played,0.65,0.65,0.64
Dream Salvage,Shadowmoor,Lightly Played,1.31,1.58,1.8
Fire-Lit Thicket,Shadowmoor,Lightly Played,17.52,18.2,18.189999999999998
Fracturing Gust,Shadowmoor,Lightly Played,3.97,4.18,5.62
Mistveil Plains,Shadowmoor,Lightly Played,0.87,0.91,1.26
Woodfall Primus,Shadowmoor,Lightly Played,2.55,3.02,3.0100000000000002
Mountain - Vesuvio,European Lands,Lightly Played,4.19,4.22,4.21
Dirtcowl Wurm,Prerelease Cards,Lightly Played,1.59,2.14,2.1300000000000003
Spitting Image,Eventide,Lightly Played,0.25,0.28,0.33
Empyrial Archangel,Shards of Alara,Lightly Played,1.68,1.69,1.67
Master of Etherium,Shards of Alara,Lightly Played,2.75,2.75,2.74
Mayael the Anima,Shards of Alara,Lightly Played,0.66,0.95,0.94
Wall of Reverence,Conflux,Lightly Played,0.94,0.95,1.17
Drowned Catacomb,Magic 2010 (M10),Lightly Played,5.17,5.47,5.46
Merfolk Sovereign,Magic 2010 (M10),Lightly Played,0.3,0.31,0.35
Ornithopter,Magic 2010 (M10),Lightly Played,0.19,0.23,0.22
Rootbound Crag,Magic 2010 (M10),Lightly Played,2.99,3.36,3.35
Sunpetal Grove,Magic 2010 (M10),Lightly Played,2.17,2.18,2.82
Mindbreak Trap,Zendikar,Lightly Played,4.99,6.03,6.0200000000000005
Pyromancer Ascension,Zendikar,Lightly Played,2.14,2.15,2.68
Sadistic Sacrament,Zendikar,Lightly Played,1.14,1.3,1.43
Amulet of Vigor,Worldwake,Near Mint Foil,51.580000000000005,55.78,55.77
Creeping Tar Pit,Worldwake,Moderately Played,4.17,4.58,4.57
Eye of Ugin,Worldwake,Moderately Played,8.25,8.45,8.44
Death's Shadow,Worldwake,Moderately Played,9.74,9.99,9.98
Stoneforge Mystic,Worldwake,Lightly Played,29.4,29.45,29.389999999999997
Creeping Tar Pit,Worldwake,Lightly Played,3.9,,4.42
Transcendent Master,Rise of the Eldrazi,Moderately Played,3.04,3.18,3.0300000000000002
Gideon Jura,Rise of the Eldrazi,Lightly Played,1.72,1.94,2.38
Distortion Strike,Rise of the Eldrazi,Lightly Played,0.38,0.44,0.37
Recurring Insight,Rise of the Eldrazi,Lightly Played,1.49,1.75,1.91
Baneslayer Angel,Magic 2011 (M11),Moderately Played,9.99,13.08,13.07
Glacial Fortress,Magic 2011 (M11),Moderately Played,2.77,4.0,3.99
Knight Exemplar,Magic 2011 (M11),Heavily Played,5.24,3.89,5.23
Steel Overseer,Magic 2011 (M11),Heavily Played,2.92,5.0,10.01
Baneslayer Angel,Magic 2011 (M11),Lightly Played,13.49,13.5,13.48
Dragonskull Summit,Magic 2011 (M11),Lightly Played,2.68,3.32,3.31
Glacial Fortress,Magic 2011 (M11),Lightly Played,3.69,4.05,4.04
Rootbound Crag,Magic 2011 (M11),Lightly Played,2.99,3.14,3.1300000000000003
Fauna Shaman,Magic 2011 (M11),Moderately Played,5.19,4.77,5.180000000000001
Ajani Goldmane,Magic 2011 (M11),Lightly Played,4.15,5.16,5.15
Ornithopter,Magic 2011 (M11),Lightly Played,0.17,0.18,0.16
Elspeth Tirel,Scars of Mirrodin,Heavily Played,6.6,8.209999999999999,8.2
Kuldotha Forgemaster,Scars of Mirrodin,Lightly Played,3.89,3.78,4.84
Myr Galvanizer,Scars of Mirrodin,Lightly Played,0.3,0.33,0.29
Etched Champion,Scars of Mirrodin,Lightly Played,0.98,1.42,1.41
Painful Quandary,Scars of Mirrodin,Moderately Played,7.65,7.9,7.890000000000001
Necrotic Ooze,Scars of Mirrodin,Moderately Played,1.97,1.97,1.96
"Ezuri, Renegade Leader",Scars of Mirrodin,Heavily Played,1.5,1.5,2.5
Razorverge Thicket,Scars of Mirrodin,Lightly Played,9.98,9.98,9.97
Copperline Gorge,Scars of Mirrodin,Lightly Played,15.32,15.33,15.31
"Ezuri, Renegade Leader",Scars of Mirrodin,Lightly Played,1.91,1.94,1.9
Mindslaver,Scars of Mirrodin,Moderately Played,3.99,5.41,5.4
Inexorable Tide,Scars of Mirrodin,Moderately Played,2.7,3.79,3.7800000000000002
Lux Cannon,Scars of Mirrodin,Moderately Played,8.49,8.49,8.48
Nim Deathmantle,Scars of Mirrodin,Lightly Played,5.96,4.98,6.8
Avatar of Woe,Archenemy,Near Mint,1.46,2.0,1.99
"Niv-Mizzet, the Firemind",From the Vault: Dragons,Near Mint Foil,5.33,4.49,5.32
Reanimate,Archenemy,Moderately Played,9.41,10.16,10.15
Reanimate,Battle Royale Box Set,Moderately Played,13.22,13.28,13.21
Ancestral Vision,Duel Decks: Jace vs. Chandra,Moderately Played,5.42,9.1,9.09
Coalition Relic,Duel Decks: Phyrexia vs. the Coalition,Moderately Played,6.48,8.46,8.450000000000001
"Johnny, Combo Player",Unhinged,Moderately Played,3.57,5.32,5.3100000000000005
Reanimate,Archenemy,Heavily Played,20.01,,20.0
Chameleon Colossus,Archenemy,Lightly Played,2.52,2.59,2.58
Leonin Abunas,Archenemy,Lightly Played,3.38,3.53,3.52
Steel Overseer,Duel Decks: Elspeth vs. Tezzeret,Lightly Played,5.15,5.15,9.66
Phyrexian Arena,Planechase,Lightly Played,8.44,9.74,9.73
Blast from the Past,Unhinged,Lightly Played,1.57,3.79,3.7800000000000002
Mishra's Factory,Judge Promos,Near Mint Foil,47.47,49.99,47.46
Fireblast,FNM Promos,Near Mint Foil,64.39,64.95,64.38
Lightning Helix,Magic Player Rewards,Damaged,10.49,11.5,11.49
Urza's Factory,Champs Promos,Moderately Played,5.44,4.48,5.430000000000001
Nissa's Chosen,Game Day & Store Championship Promos,Moderately Played,1.2,1.54,1.53
Electrolyze,Champs Promos,Heavily Played,12.57,,12.56
Ponder,Magic Player Rewards,Heavily Played,14.47,14.95,14.94
Electrolyze,Champs Promos,Lightly Played,11.040000000000001,12.21,12.200000000000001
Urza's Factory,Champs Promos,Lightly Played,6.73,7.25,7.24
Hinder,Magic Player Rewards,Lightly Played,1.84,1.89,1.83
Lightning Helix,Magic Player Rewards,Lightly Played,16.27,16.5,16.259999999999998
Ponder,Magic Player Rewards,Lightly Played,14.2,15.13,15.120000000000001
Psionic Blast,Magic Player Rewards,Lightly Played,3.1,3.51,3.5
Terminate,Magic Player Rewards,Lightly Played,2.9,3.68,4.9
Darksteel Plate,Mirrodin Besieged,Moderately Played,3.44,3.89,3.8800000000000003
Searing Blaze,Magic Player Rewards,Lightly Played,5.36,5.74,5.73
Norn's Annex,New Phyrexia,Heavily Played,5.0,6.2,6.19
Urabrask the Hidden,New Phyrexia,Heavily Played,4.26,4.38,4.37
Gut Shot,New Phyrexia,Near Mint Foil,12.94,18.96,18.95
Apostle's Blessing,New Phyrexia,Near Mint Foil,2.99,,2.9800000000000004
Chancellor of the Annex,New Phyrexia,Heavily Played,3.33,4.11,4.1000000000000005
Whipflare,New Phyrexia,Lightly Played,0.12,0.15,0.18
Noxious Revival,New Phyrexia,Lightly Played,5.5,5.64,5.63
Vault Skirge,New Phyrexia,Lightly Played,0.26,0.29,0.36
Gideon Jura,Magic 2012 (M12),Moderately Played,1.29,1.92,1.91
Gideon Jura,Magic 2012 (M12),Lightly Played,1.23,1.62,1.83
Invigorate,Commander,Lightly Played,0.11,0.15,0.13999999999999999
Ruination,Commander,Lightly Played,3.2,4.22,4.21
Living Death,Commander,Lightly Played,2.41,3.45,3.4400000000000004
Grim Lavamancer,Magic 2012 (M12),Moderately Played,3.95,5.2,5.19
Quicksilver Amulet,Magic 2012 (M12),Moderately Played,3.06,3.54,3.5300000000000002
Grim Lavamancer,Magic 2012 (M12),Heavily Played,5.0,4.43,4.99
Grim Lavamancer,Magic 2012 (M12),Lightly Played,3.77,3.78,3.77
Drowned Catacomb,Magic 2012 (M12),Moderately Played,3.6,5.0,4.99
Glacial Fortress,Magic 2012 (M12),Moderately Played,5.02,5.03,5.0200000000000005
Solemn Simulacrum,Magic 2012 (M12),Moderately Played,5.53,5.75,5.74
Rootbound Crag,Magic 2012 (M12),Lightly Played,3.02,3.07,3.06
Sunpetal Grove,Magic 2012 (M12),Lightly Played,2.32,2.33,2.98
Glacial Fortress,Magic 2012 (M12),Lightly Played,3.53,3.93,3.9200000000000004
Adaptive Automaton,Magic 2012 (M12),Moderately Played,5.25,5.42,5.41
Woodland Cemetery,Innistrad,Moderately Played,1.7,1.81,1.69
Clifftop Retreat,Innistrad,Moderately Played,3.08,3.2,3.1900000000000004
Isolated Chapel,Innistrad,Lightly Played,3.21,3.73,3.72
Woodland Cemetery,Innistrad,Lightly Played,1.54,1.72,1.53
Sulfur Falls,Innistrad,Lightly Played,1.85,1.88,1.84
Endless Ranks of the Dead,Innistrad,Moderately Played,3.98,4.36,4.3500000000000005
Champion of the Parish,Innistrad,Moderately Played,1.36,2.09,2.08
Kessig Wolf,Innistrad,Lightly Played,0.05,0.09,0.08
Huntmaster of the Fells,Dark Ascension,Moderately Played,5.33,5.97,5.96
Signal Pest,WPN & Gateway Promos,Near Mint Foil,9.59,9.78,9.77
Vault Skirge,WPN & Gateway Promos,Near Mint Foil,2.68,2.84,2.83
Treasure Hunt (IDW Comics 2012),Media Promos,Lightly Played,0.81,0.85,1.23
Grafdigger's Cage,Dark Ascension,Moderately Played,2.8,2.98,2.97
Grafdigger's Cage,Dark Ascension,Heavily Played,3.24,3.4,3.39
Beacon of Immortality,10th Edition,Moderately Played Foil,9.99,10.96,10.950000000000001
Brushland,10th Edition,Moderately Played Foil,36.97,44.99,44.980000000000004
Peek,10th Edition,Moderately Played Foil,5.65,5.7,5.69
Treetop Village,10th Edition,Moderately Played Foil,4.4,4.92,4.91
Underworld Dreams,10th Edition,Moderately Played Foil,3.62,3.66,5.43
Yavimaya Coast,10th Edition,Moderately Played Foil,7.99,9.28,9.27
Elvish Archers,7th Edition,Moderately Played Foil,3.6,6.08,6.07
Wildfire,7th Edition,Moderately Played Foil,56.65,66.65,66.64
Hell's Caretaker,9th Edition,Moderately Played Foil,16.33,16.35,24.0
Loxodon Warhammer,9th Edition,Moderately Played Foil,4.19,5.0,4.99
Mana Leak,9th Edition,Moderately Played Foil,3.36,4.63,4.62
Llanowar Wastes,Apocalypse,Moderately Played Foil,70.19,,70.17999999999999
Underworld Dreams,Arena Promos,Moderately Played Foil,5.01,5.52,5.51
Hall of the Bandit Lord,Champions of Kamigawa,Moderately Played Foil,41.65,55.36,55.35
"Tatsumasa, the Dragon's Fang",Champions of Kamigawa,Moderately Played Foil,5.39,5.41,5.4
Voidslime,Champs Promos,Moderately Played Foil,39.89,39.99,39.88
Countersquall,Conflux,Moderately Played Foil,1.19,1.25,2.83
Inkwell Leviathan,Conflux,Moderately Played Foil,1.51,1.56,2.19
Thornling,Conflux,Moderately Played Foil,2.61,2.7,2.6900000000000004
Hellrider,Dark Ascension,Moderately Played Foil,0.94,1.75,1.74
"Elbrus, the Binding Blade",Dark Ascension,Moderately Played Foil,3.99,4.0,3.99
Darksteel Citadel,Darksteel,Moderately Played Foil,5.49,6.36,6.3500000000000005
Azorius Chancery,Dissension,Moderately Played Foil,2.97,3.39,3.3800000000000003
"Elspeth, Knight-Errant",Duel Decks: Elspeth vs. Tezzeret,Moderately Played Foil,10.4,9.41,10.39
Garruk Wildspeaker,Duel Decks: Garruk vs. Liliana,Moderately Played Foil,6.16,6.53,6.5200000000000005
Liliana Vess,Duel Decks: Garruk vs. Liliana,Moderately Played Foil,5.5,7.44,7.430000000000001
Fetid Heath,Eventide,Moderately Played Foil,21.97,21.99,39.93
Bringer of the White Dawn,Fifth Dawn,Moderately Played Foil,3.08,3.19,3.18
Ancient Ziggurat,FNM Promos,Moderately Played Foil,12.5,12.620000000000001,12.49
Bloodbraid Elf,FNM Promos,Moderately Played Foil,7.92,6.99,7.91
Carnophage,FNM Promos,Moderately Played Foil,8.3,8.98,8.97
Elvish Visionary,FNM Promos,Moderately Played Foil,8.46,8.95,8.94
Ghostly Prison,FNM Promos,Moderately Played Foil,7.98,8.2,8.19
Oblivion Ring,FNM Promos,Moderately Played Foil,2.49,2.89,2.8800000000000003
Terminate,FNM Promos,Moderately Played Foil,4.25,5.25,5.24
Wall of Roots,FNM Promos,Moderately Played Foil,2.27,2.54,2.5300000000000002
Glistener Elf,FNM Promos,Moderately Played Foil,4.39,4.6,4.59
Gifts Ungiven,From the Vault: Exiled,Moderately Played Foil,2.41,2.49,2.4800000000000004
Aven Mindcensor,Future Sight,Moderately Played Foil,8.13,10.01,10.0
Spin into Myth,Future Sight,Moderately Played Foil,0.55,0.55,0.91
Umezawa's Jitte,Grand Prix Promos,Moderately Played Foil,20.0,25.529999999999998,25.519999999999996
Glint-Eye Nephilim,Guildpact,Moderately Played Foil,2.15,2.24,2.2300000000000004
Mortify,Guildpact,Moderately Played Foil,2.99,4.25,4.24
Stitch in Time,Guildpact,Moderately Played Foil,9.0,9.19,9.18
Wild Cantor,Guildpact,Moderately Played Foil,5.31,5.75,5.74
Woodland Cemetery,Innistrad,Moderately Played Foil,5.79,5.99,5.98
Gavony Township,Innistrad,Moderately Played Foil,5.13,5.15,5.140000000000001
Parallel Lives,Innistrad,Moderately Played Foil,39.9,,39.89
Planar Chaos,Judgment,Moderately Played Foil,4.19,5.01,5.0
Vexing Shusher,Launch Party & Release Event Promos,Moderately Played Foil,7.99,9.99,9.98
Cloudgoat Ranger,Lorwyn,Moderately Played Foil,0.34,0.42,0.41
Gaddock Teeg,Lorwyn,Moderately Played Foil,34.94,37.99,37.980000000000004
Shriekmaw,Lorwyn,Moderately Played Foil,2.64,2.68,5.04
Silvergill Adept,Lorwyn,Moderately Played Foil,2.85,2.87,5.98
Sower of Temptation,Lorwyn,Moderately Played Foil,15.45,15.75,15.44
Spellstutter Sprite,Lorwyn,Moderately Played Foil,7.96,12.74,12.73
Wanderwine Hub,Lorwyn,Moderately Played Foil,8.47,8.9,8.89
Windbrisk Heights,Lorwyn,Moderately Played Foil,3.89,3.92,3.91
